,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price
0,142275.0,148.0,585.0,263.0,512.0,422,36,5.0,8.0,2000.0,5.0,1690.0
1,142275.0,148.0,585.0,263.0,512.0,323,36,5.0,16.0,2000.0,5.0,1803.0
2,129698.0,,840.0,271.0,,299,36,5.0,16.0,2000.0,5.2,1803.0
3,129698.0,,840.0,271.0,,287,36,5.0,16.0,2000.0,5.2,1803.0
4,140736.0,161.0,670.0,282.0,,1047,10,5.71,16.0,3000.0,5.0,1999.0
5,236896.0,67.0,900.0,364.0,64.0,71,2,5.8,64.0,3400.0,4.1,10865.0
6,236896.0,67.0,900.0,364.0,64.0,424,2,6.21,32.0,3400.0,4.1,3999.0
7,228062.0,,646.0,360.0,16.0,134,6,6.21,64.0,3400.0,4.0,4973.0
8,228062.0,,646.0,360.0,16.0,477,3,6.21,128.0,3400.0,4.0,5100.0
9,237856.0,5.0,450.0,321.0,16.0,215,8,6.21,64.0,3400.0,4.0,4948.0
10,288348.0,48.0,650.0,460.0,,179,8,6.21,64.0,3400.0,5.1,4948.0
11,288348.0,48.0,650.0,460.0,,437,7,6.21,64.0,3400.0,5.1,5165.0
12,288348.0,48.0,650.0,460.0,,18,28,1.77,0.004,800.0,5.1,583.0
13,340599.0,43.0,750.0,539.0,256.0,262,31,1.77,,800.0,5.0,601.0
14,340599.0,43.0,750.0,539.0,256.0,274,31,1.77,,800.0,5.0,601.0
15,340599.0,43.0,750.0,539.0,256.0,507,2,1.8,0.004,800.0,5.0,552.0
16,420210.0,5.0,500.0,604.0,16.0,805,31,1.77,,800.0,4.0,536.0
17,420210.0,5.0,500.0,604.0,16.0,692,35,1.77,,800.0,4.0,547.0
18,420210.0,5.0,500.0,604.0,16.0,460,5,1.8,0.004,800.0,4.0,663.0
19,420210.0,5.0,500.0,604.0,16.0,455,5,1.8,0.004,800.0,4.0,663.0
20,420210.0,5.0,500.0,604.0,16.0,378,2,1.8,0.004,800.0,4.0,474.0
21,420210.0,5.0,500.0,604.0,16.0,59,1,1.8,0.004,800.0,4.0,499.0
22,420210.0,5.0,500.0,604.0,16.0,838,35,1.8,,800.0,4.0,596.0
23,420210.0,5.0,500.0,604.0,16.0,841,35,1.8,,800.0,4.0,596.0
24,420210.0,5.0,500.0,604.0,16.0,532,2,6.21,128.0,3400.0,4.0,5499.0
25,420210.0,5.0,500.0,604.0,16.0,444,2,6.21,128.0,3400.0,4.0,5499.0
26,420210.0,5.0,500.0,604.0,16.0,471,34,1.77,,800.0,4.0,710.0
27,420210.0,5.0,500.0,604.0,16.0,248,36,1.77,,800.0,4.0,702.0
28,420210.0,5.0,500.0,604.0,16.0,807,50,2.4,,1020.0,4.0,992.0
29,420210.0,5.0,500.0,604.0,16.0,490,1,5.45,128.0,3000.0,4.0,6584.0
30,420210.0,5.0,500.0,604.0,16.0,166,3,5.45,64.0,3000.0,4.0,5272.0
31,420210.0,5.0,500.0,604.0,16.0,125,3,5.45,64.0,3000.0,4.0,5272.0
32,420210.0,5.0,500.0,604.0,16.0,116,3,5.45,64.0,3000.0,4.0,5272.0
33,522587.0,43.0,750.0,756.0,128.0,666,1,5.95,64.0,3500.0,5.0,5328.0
34,522587.0,43.0,750.0,756.0,128.0,415,1,5.95,64.0,3500.0,5.0,5328.0
35,348829.0,63.0,,555.0,,405,1,5.95,64.0,3500.0,5.1,5328.0
36,334530.0,72.0,1114.0,520.0,128.0,920,61,2.4,,1020.0,5.1,1180.0
37,334530.0,72.0,1114.0,520.0,128.0,543,39,2.4,,1020.0,5.1,1190.0
38,300532.0,,818.0,597.0,,835,39,2.4,,1020.0,5.2,1196.0
39,300532.0,,818.0,597.0,,645,12,2.4,,1020.0,5.2,1090.0
40,343935.0,76.0,950.0,628.0,,1111,11,6.0,128.0,3100.0,5.3,5926.0
41,84309.0,,,74.0,,1144,19,6.0,64.0,3100.0,,5231.0
42,84309.0,,,74.0,,663,2,6.0,128.0,3100.0,,5649.0
43,84309.0,,,74.0,,900,11,6.2,128.0,4000.0,,7229.0
44,84309.0,,,74.0,,1063,9,6.0,64.0,3010.0,,7776.0
45,84309.0,,,74.0,,195,4,5.5,16.0,3000.0,,2399.0
46,84309.0,,,74.0,,616,31,5.5,16.0,3000.0,,2408.0
47,84309.0,,,74.0,,629,38,6.22,32.0,4000.0,,3249.0
48,77434.0,7.0,550.0,110.0,64.0,790,35,6.22,128.0,4000.0,4.1,3877.0
49,77434.0,7.0,550.0,110.0,64.0,793,35,6.22,128.0,4000.0,4.1,3877.0
50,77434.0,7.0,550.0,110.0,64.0,1052,1,5.71,16.0,3000.0,4.1,2299.0
51,77434.0,7.0,550.0,110.0,64.0,870,2,6.2,32.0,4000.0,4.1,2799.0
52,77434.0,7.0,550.0,110.0,64.0,1031,17,6.5,32.0,4500.0,4.1,3162.0
53,77434.0,7.0,550.0,110.0,64.0,823,1,6.26,128.0,3750.0,4.1,9999.0
54,77434.0,7.0,550.0,110.0,64.0,538,26,2.4,,970.0,4.1,655.0
55,79227.0,,,70.0,,527,26,2.4,,970.0,,655.0
56,79227.0,,,70.0,,193,27,2.4,,970.0,,654.0
57,79968.0,,,81.0,,545,23,2.4,,970.0,3.0,864.0
58,79968.0,,,81.0,,475,25,2.4,,970.0,3.0,900.0
59,79968.0,,,81.0,,585,33,2.4,,970.0,3.0,898.0
60,79968.0,,,81.0,,464,20,2.4,0.016,1020.0,3.0,1153.0
61,79968.0,,,81.0,,65,33,2.8,0.016,1200.0,3.0,1864.0
62,79968.0,,,81.0,,860,54,2.8,0.016,1200.0,3.0,1847.0
63,79968.0,,,81.0,,883,26,2.8,4.0,1500.0,3.0,2530.0
64,79968.0,,,81.0,,721,35,2.8,4.0,1500.0,3.0,2567.0
65,79968.0,,,81.0,,719,35,2.8,4.0,1500.0,3.0,2567.0
66,79968.0,,,81.0,,103,1,6.3,128.0,4045.0,3.0,7068.0
67,79968.0,,,81.0,,128,1,6.3,128.0,4045.0,3.0,7068.0
68,79968.0,,,81.0,,1132,24,6.39,64.0,4000.0,3.0,3899.0
69,79968.0,,,81.0,,235,9,5.5,128.0,3400.0,3.0,6991.0
70,79968.0,,,81.0,,188,9,5.5,128.0,3400.0,3.0,6991.0
71,79968.0,,,81.0,,921,10,5.5,64.0,3400.0,3.0,5856.0
72,79968.0,,,81.0,,194,1,6.52,64.0,4000.0,3.0,3590.0
73,79968.0,,,81.0,,190,1,4.0,8.0,1300.0,3.0,840.0
74,79968.0,,,81.0,,224,1,4.0,8.0,1300.0,3.0,840.0
75,79968.0,,,81.0,,280,1,6.5,128.0,5000.0,3.0,5757.0
76,79968.0,,,81.0,,337,1,5.5,64.0,3300.0,3.0,7333.0
77,79968.0,,,81.0,,234,1,5.5,64.0,3300.0,3.0,7333.0
78,79968.0,,,81.0,,38,1,6.3,128.0,4035.0,3.0,8294.0
79,79968.0,,,81.0,,88,1,6.3,128.0,4035.0,3.0,8294.0
80,79968.0,,,81.0,,97,1,6.3,128.0,4035.0,3.0,8294.0
81,79968.0,,,81.0,,1156,42,6.55,64.0,4000.0,3.0,4429.0
82,79968.0,,,81.0,,701,4,6.39,128.0,4000.0,3.0,9323.0
83,79968.0,,,81.0,,888,46,2.4,0.016,1200.0,3.0,1365.0
84,79968.0,,,81.0,,137,2,6.5,64.0,5000.0,3.0,4761.0
85,79968.0,,,81.0,,1139,20,6.5,128.0,4300.0,3.0,5936.0
86,72524.0,,,91.0,,1045,1,6.5,64.0,4300.0,3.0,5299.0
87,72524.0,,,91.0,,309,3,5.5,64.0,3000.0,3.0,6381.0
88,121824.0,2.0,,118.0,4.0,21,1,5.5,64.0,3000.0,4.1,5265.0
89,121824.0,2.0,,118.0,4.0,1118,34,6.5,128.0,4300.0,4.1,6767.0
90,121824.0,2.0,,118.0,4.0,1117,10,6.6,128.0,4300.0,4.1,8045.0
91,102378.0,43.0,1000.0,149.0,128.0,620,2,5.5,32.0,3000.0,5.0,3820.0
92,102378.0,43.0,1000.0,149.0,128.0,798,4,5.5,64.0,3000.0,5.0,3962.0
93,62253.0,2.0,500.0,96.0,8.0,202,1,5.8,64.0,3060.0,4.0,5020.0
94,75966.0,2.0,320.0,128.0,4.0,329,1,6.5,64.0,4300.0,3.0,5777.0
95,75966.0,2.0,320.0,128.0,4.0,291,1,6.5,64.0,4300.0,3.0,5777.0
96,78390.0,5.0,400.0,101.0,8.0,953,5,6.5,128.0,4300.0,4.0,6078.0
97,78390.0,5.0,400.0,101.0,8.0,661,8,6.41,256.0,3700.0,4.0,15625.0
98,160704.0,4.0,400.0,173.0,8.0,989,17,6.5,64.0,5000.0,4.0,4292.0
99,88595.0,5.0,450.0,134.0,8.0,1042,27,6.5,128.0,5000.0,4.2,4946.0
100,88595.0,5.0,450.0,134.0,8.0,158,1,5.2,16.0,3100.0,4.2,2766.0
101,88595.0,5.0,450.0,134.0,8.0,133,1,5.2,16.0,3100.0,4.2,2766.0
102,88595.0,5.0,450.0,134.0,,108,1,5.2,16.0,3100.0,4.2,2766.0
103,113076.0,5.0,550.0,,16.0,570,3,6.5,64.0,5000.0,5.0,6215.0
104,113076.0,5.0,550.0,,16.0,1022,11,6.41,256.0,3700.0,5.0,14443.0
105,113076.0,5.0,550.0,,16.0,375,2,6.0,64.0,3800.0,5.0,7612.0
106,79466.0,4.0,450.0,134.0,8.0,1179,23,6.4,128.0,4500.0,4.0,8584.0
107,97346.0,5.0,600.0,143.0,16.0,1067,11,6.55,256.0,4300.0,4.2,17172.0
108,97346.0,5.0,600.0,143.0,16.0,535,3,5.2,32.0,3000.0,4.2,3613.0
109,82256.0,5.0,450.0,150.0,16.0,693,1,5.2,64.0,3000.0,5.0,3499.0
110,89107.0,63.0,700.0,162.0,64.0,1155,13,6.55,128.0,4300.0,5.0,15840.0
111,81120.0,62.0,546.0,155.0,64.0,626,1,5.3,64.0,3090.0,5.0,6222.0
112,86249.0,88.0,572.0,163.0,,1095,32,6.78,256.0,4510.0,5.0,22587.0
113,86249.0,88.0,572.0,163.0,,1161,23,6.78,128.0,4510.0,5.0,20709.0
114,86249.0,88.0,572.0,163.0,,1055,18,6.81,128.0,4500.0,5.0,19041.0
115,86249.0,88.0,572.0,163.0,,609,37,2.4,4.0,2100.0,5.0,3241.0
116,86249.0,88.0,572.0,163.0,,560,27,2.4,4.0,2100.0,5.0,3216.0
117,86249.0,88.0,572.0,163.0,,383,1,6.09,32.0,3020.0,5.0,3199.0
118,86249.0,88.0,572.0,163.0,,430,2,6.09,64.0,3020.0,5.0,3844.0
119,86249.0,88.0,572.0,163.0,,433,2,6.09,64.0,3020.0,5.0,3844.0
120,83571.0,6.0,570.0,130.0,16.0,767,1,5.7,32.0,3020.0,4.2,2499.0
121,98039.0,5.0,600.0,140.0,8.0,769,1,5.7,32.0,3020.0,4.2,2499.0
122,82811.0,218.0,800.0,163.0,128.0,938,2,6.55,256.0,4500.0,5.0,23999.0
123,82811.0,218.0,800.0,163.0,128.0,1159,29,6.55,256.0,4500.0,5.0,18200.0
124,72520.0,13.0,624.0,139.0,128.0,1157,35,6.55,128.0,4500.0,4.2,16845.0
125,96032.0,5.0,500.0,140.0,16.0,694,2,7.12,64.0,5000.0,4.2,5652.0
126,96032.0,5.0,500.0,140.0,16.0,697,2,7.12,64.0,5000.0,4.2,5652.0
127,78297.0,58.0,650.0,152.0,,303,3,7.12,64.0,5000.0,4.2,5844.0
128,78297.0,58.0,650.0,152.0,,660,5,5.15,64.0,3200.0,4.2,4461.0
129,86299.0,25.0,770.0,141.0,32.0,142,3,5.65,32.0,3000.0,5.0,3491.0
130,86299.0,25.0,770.0,141.0,32.0,342,2,5.84,32.0,3000.0,5.0,3424.0
131,85850.0,5.0,598.0,170.0,32.0,361,2,5.84,32.0,3000.0,4.1,3424.0
132,85850.0,5.0,598.0,170.0,32.0,216,1,5.84,64.0,3000.0,4.1,4009.0
133,82602.0,40.0,820.0,152.0,64.0,180,1,5.84,64.0,3000.0,5.0,4009.0
134,78524.0,196.0,720.0,150.0,,1048,3,6.59,128.0,4000.0,5.0,5599.0
135,78524.0,196.0,720.0,150.0,,83,4,2.4,0.032,2000.0,5.0,817.0
136,97090.0,5.0,500.0,212.0,16.0,384,26,2.4,0.032,2000.0,4.0,834.0
137,97090.0,5.0,500.0,212.0,16.0,440,32,2.4,,2000.0,4.0,805.0
138,82181.0,5.0,598.0,137.0,,2,11,5.7,128.0,4400.0,4.1,5628.0
139,82181.0,5.0,598.0,137.0,,1024,15,6.22,32.0,4230.0,4.1,3520.0
140,82181.0,5.0,598.0,137.0,,705,4,6.22,64.0,4230.0,4.1,3949.0
141,82181.0,5.0,598.0,137.0,,519,2,1.77,0.032,600.0,4.1,214.0
142,69728.0,50.0,772.0,132.0,,172,3,3.2,,1000.0,4.1,599.0
143,105186.0,5.0,450.0,198.0,16.0,208,3,3.2,,1000.0,4.0,599.0
144,105186.0,5.0,450.0,198.0,16.0,221,3,3.2,,1000.0,4.0,599.0
145,105186.0,5.0,450.0,198.0,16.0,11,2,1.77,,1000.0,4.0,399.0
146,105186.0,5.0,450.0,198.0,16.0,411,20,1.77,,600.0,4.0,252.0
147,105186.0,5.0,450.0,198.0,16.0,401,20,1.77,,600.0,4.0,252.0
148,105186.0,5.0,450.0,198.0,16.0,106,20,1.77,,600.0,4.0,252.0
149,85943.0,12.0,700.0,154.0,,131,20,1.77,,600.0,4.2,252.0
150,101274.0,5.0,450.0,159.0,16.0,156,20,1.77,,600.0,4.0,252.0
151,101274.0,5.0,450.0,159.0,16.0,204,1,1.77,0.032,800.0,4.0,279.0
152,81495.0,57.0,625.0,151.0,128.0,295,1,2.4,0.032,1000.0,5.0,359.0
153,101268.0,5.0,450.0,,16.0,334,1,2.4,0.032,1000.0,4.2,359.0
154,98374.0,45.0,650.0,165.0,,63,19,2.4,,800.0,4.2,308.0
155,98374.0,45.0,650.0,165.0,,947,23,2.8,,6000.0,4.2,632.0
156,68745.0,50.0,772.0,138.0,,240,2,5.5,16.0,2500.0,4.1,1852.0
157,95780.0,8.0,660.0,153.0,,243,2,5.5,16.0,2500.0,4.2,1852.0
158,77412.0,3.0,400.0,139.0,,897,18,6.5,64.0,4230.0,4.0,4471.0
159,77412.0,3.0,400.0,139.0,,833,4,6.5,64.0,5000.0,4.0,4773.0
160,77412.0,3.0,400.0,139.0,,617,1,5.0,16.0,2700.0,4.0,1599.0
161,88481.0,42.0,1100.0,172.0,,302,1,5.0,16.0,3200.0,5.0,2199.0
162,88481.0,42.0,1100.0,172.0,,1094,65,6.5,64.0,5000.0,5.0,5448.0
163,88481.0,42.0,1100.0,172.0,,985,19,6.5,128.0,5000.0,5.0,5683.0
164,88481.0,42.0,1100.0,172.0,,1145,66,6.5,64.0,5000.0,5.0,5257.0
165,100332.0,5.0,450.0,183.0,16.0,650,4,5.5,16.0,2650.0,4.2,1599.0
166,100332.0,5.0,450.0,183.0,16.0,478,2,6.2,32.0,4230.0,4.2,3266.0
167,87997.0,8.0,660.0,146.0,32.0,857,42,6.1,16.0,4080.0,4.2,1910.0
168,87997.0,8.0,660.0,146.0,32.0,1027,8,6.08,64.0,4080.0,4.2,2831.0
169,100554.0,5.0,550.0,,16.0,904,15,6.08,16.0,4080.0,4.0,2465.0
170,86459.0,45.0,650.0,,16.0,82,5,6.09,32.0,4000.0,4.2,3391.0
171,91294.0,12.0,700.0,142.0,,29,4,6.3,128.0,4150.0,4.2,3868.0
172,91294.0,12.0,700.0,142.0,,23,4,6.3,128.0,4150.0,4.2,3868.0
173,98405.0,5.0,680.0,160.0,32.0,419,2,6.3,64.0,4150.0,4.2,3327.0
174,98405.0,5.0,680.0,160.0,32.0,948,11,6.5,128.0,5000.0,4.2,6867.0
175,98405.0,5.0,680.0,160.0,32.0,1097,55,6.44,128.0,4015.0,4.2,6615.0
176,89750.0,46.0,430.0,151.0,64.0,622,1,6.53,32.0,4150.0,5.0,2479.0
177,89750.0,46.0,430.0,151.0,64.0,74,3,5.0,32.0,,5.0,4463.0
178,89750.0,46.0,430.0,151.0,64.0,578,10,6.21,16.0,4200.0,5.0,2232.0
179,101984.0,6.0,650.0,135.0,8.0,1018,26,6.49,64.0,4680.0,4.1,3250.0
180,89937.0,177.0,600.0,175.0,128.0,73,1,6.5,128.0,5000.0,5.1,6039.0
181,96432.0,5.0,,162.0,8.0,814,1,6.5,128.0,5000.0,4.2,5699.0
182,89473.0,148.0,587.0,181.0,256.0,797,10,5.99,32.0,5400.0,5.1,5851.0
183,89473.0,148.0,587.0,181.0,256.0,704,14,5.99,64.0,5400.0,5.1,6900.0
184,89473.0,148.0,587.0,181.0,256.0,1124,21,6.4,128.0,4025.0,5.1,8141.0
185,89473.0,148.0,587.0,181.0,256.0,316,11,2.4,0.064,1500.0,5.1,294.0
186,78570.0,5.0,450.0,159.0,16.0,377,20,2.2,0.032,1000.0,4.0,398.0
187,78570.0,5.0,450.0,159.0,16.0,155,1,5.0,32.0,3500.0,4.0,3460.0
188,100971.0,5.0,680.0,150.0,32.0,632,7,5.99,64.0,2900.0,4.1,7827.0
189,100971.0,5.0,680.0,150.0,32.0,146,5,6.67,128.0,5800.0,4.1,12913.0
190,100971.0,5.0,680.0,150.0,32.0,314,6,5.7,64.0,,4.1,6692.0
191,98060.0,5.0,,155.0,16.0,148,3,5.7,64.0,10300.0,4.2,7498.0
192,79815.0,43.0,621.0,155.0,64.0,671,10,6.3,128.0,5500.0,4.1,7958.0
193,79815.0,43.0,621.0,155.0,64.0,673,10,6.3,128.0,5500.0,4.1,7958.0
194,96762.0,5.0,598.0,145.0,16.0,865,29,6.1,64.0,5500.0,4.2,5943.0
195,87000.0,5.0,550.0,144.0,32.0,1009,20,6.3,128.0,6600.0,4.0,15611.0
196,99172.0,56.0,,181.0,128.0,816,17,6.3,128.0,6600.0,5.0,11062.0
197,99172.0,56.0,,181.0,128.0,818,17,6.3,128.0,6600.0,5.0,11062.0
198,104871.0,56.0,,181.0,128.0,318,57,2.4,0.032,2500.0,5.0,1274.0
199,104871.0,56.0,,181.0,128.0,52,7,2.4,0.032,2500.0,5.0,1299.0
200,84155.0,51.0,725.0,149.0,32.0,395,29,5.5,32.0,5000.0,4.2,3155.0
201,103561.0,,485.0,168.0,16.0,788,38,5.5,32.0,5000.0,5.0,3768.0
202,103561.0,,485.0,168.0,16.0,1010,28,5.5,64.0,5000.0,5.0,4251.0
203,72694.0,4.0,400.0,120.0,16.0,662,38,5.0,16.0,4000.0,4.1,2786.0
204,82486.0,64.0,,152.0,,546,38,5.0,16.0,,4.2,3072.0
205,82486.0,64.0,,152.0,,998,35,5.0,32.0,4000.0,4.2,3550.0
206,82486.0,64.0,,152.0,,1035,33,5.7,64.0,5080.0,4.2,4424.0
207,82486.0,64.0,,152.0,,621,19,1.8,0.032,800.0,4.2,275.0
208,85650.0,148.0,585.0,168.0,256.0,110,1,5.45,8.0,4000.0,5.0,1699.0
209,85650.0,148.0,585.0,168.0,256.0,160,1,5.45,8.0,4000.0,5.0,1699.0
210,85650.0,204.0,754.0,168.0,256.0,390,30,2.0,0.064,1300.0,5.0,646.0
211,91613.0,148.0,585.0,167.0,128.0,599,28,2.0,0.064,1300.0,5.0,655.0
212,84576.0,14.0,653.0,163.0,128.0,448,19,2.4,0.032,1200.0,4.2,400.0
213,84576.0,14.0,653.0,163.0,128.0,1084,52,2.4,,1500.0,4.2,1488.0
214,84576.0,14.0,653.0,163.0,128.0,49,1,5.0,8.0,2500.0,4.2,1715.0
215,84576.0,14.0,653.0,163.0,128.0,25,1,5.5,64.0,5050.0,4.2,3107.0
216,84576.0,14.0,653.0,163.0,128.0,94,1,5.5,64.0,5050.0,4.2,3107.0
217,84576.0,14.0,653.0,163.0,,540,2,6.19,16.0,5500.0,4.2,2323.0
218,84576.0,14.0,653.0,163.0,,688,22,2.4,0.032,3000.0,4.2,992.0
219,84576.0,14.0,653.0,163.0,,877,23,5.7,32.0,5580.0,4.2,2974.0
220,82512.0,64.0,,149.0,,869,13,5.7,64.0,5580.0,4.2,3474.0
221,87019.0,80.0,710.0,162.0,128.0,515,13,5.7,128.0,5580.0,5.0,4727.0
222,87019.0,80.0,710.0,162.0,128.0,138,22,5.7,128.0,5580.0,5.0,6789.0
223,87019.0,80.0,710.0,162.0,128.0,772,54,5.5,16.0,4400.0,5.0,2596.0
224,87019.0,80.0,710.0,162.0,128.0,1023,25,5.5,32.0,4400.0,5.0,2720.0
225,105120.0,5.0,500.0,143.0,16.0,553,47,5.5,16.0,4400.0,4.0,3566.0
226,98596.0,148.0,585.0,191.0,128.0,548,47,5.5,16.0,4400.0,5.0,3566.0
227,94752.0,44.0,504.0,205.0,128.0,425,1,5.5,16.0,5580.0,5.0,2394.0
228,94752.0,44.0,504.0,205.0,128.0,659,26,5.7,32.0,5580.0,5.0,3668.0
229,92018.0,5.0,700.0,154.0,16.0,806,23,6.88,16.0,5580.0,4.2,3386.0
230,92018.0,5.0,700.0,154.0,16.0,849,29,5.7,32.0,4380.0,4.2,3762.0
231,90088.0,6.0,357.0,165.0,32.0,882,28,5.7,128.0,4380.0,4.0,5418.0
232,102100.0,5.0,650.0,180.0,,821,55,5.7,64.0,6580.0,4.2,6801.0
233,104111.0,5.0,550.0,162.0,16.0,764,10,5.84,64.0,5580.0,4.2,4793.0
234,97294.0,5.0,550.0,151.0,16.0,536,19,5.0,64.0,4180.0,4.2,4584.0
235,98116.0,143.0,720.0,189.0,256.0,525,19,5.0,64.0,4180.0,5.0,4584.0
236,88305.0,5.0,500.0,157.0,16.0,954,13,6.3,64.0,13000.0,4.0,5355.0
237,101747.0,16.0,650.0,180.0,32.0,562,5,5.7,64.0,10000.0,4.2,6356.0
238,88160.0,25.0,1200.0,160.0,,792,17,5.7,64.0,10000.0,4.2,5851.0
239,93786.0,64.0,647.0,166.0,,612,7,5.7,128.0,10000.0,5.0,8087.0
240,87939.0,57.0,625.0,172.0,,104,20,6.21,64.0,5580.0,5.1,6072.0
241,96113.0,5.0,550.0,160.0,16.0,129,20,6.21,64.0,5580.0,4.0,6072.0
242,84310.0,20.0,600.0,136.0,,373,10,6.21,128.0,5580.0,4.2,6898.0
243,84310.0,20.0,600.0,136.0,,355,10,6.21,128.0,5580.0,4.2,6898.0
244,84356.0,13.0,624.0,157.0,,533,18,6.21,128.0,5580.0,4.2,6126.0
245,91011.0,30.0,550.0,155.0,32.0,898,20,5.84,128.0,4380.0,4.2,6967.0
246,91011.0,30.0,550.0,155.0,32.0,77,3,5.84,128.0,4380.0,4.2,7686.0
247,91011.0,30.0,550.0,155.0,32.0,293,14,6.3,128.0,6580.0,4.2,10064.0
248,91011.0,30.0,550.0,155.0,32.0,332,14,6.3,128.0,6580.0,4.2,10064.0
249,91011.0,30.0,550.0,155.0,32.0,879,30,6.3,128.0,6580.0,4.2,10436.0
250,91011.0,30.0,550.0,155.0,32.0,732,14,5.84,256.0,4380.0,4.2,9916.0
251,102793.0,210.0,600.0,209.0,,802,6,5.84,128.0,4380.0,5.1,12667.0
252,102793.0,210.0,600.0,209.0,,918,21,5.84,128.0,4380.0,5.1,7608.0
253,102793.0,210.0,600.0,209.0,,884,4,6.3,128.0,5000.0,5.1,4994.0
254,86858.0,48.0,650.0,159.0,64.0,150,2,6.39,128.0,4000.0,5.0,15149.0
255,82257.0,59.0,1000.0,159.0,256.0,43,11,6.39,128.0,4000.0,4.2,15399.0
